@relation 'max_min_all_fin-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute Fmax numeric
@attribute Fmin numeric
@attribute Mmax numeric
@attribute Mmin numeric
@attribute Class numeric

@data
0.058523,-1.258677,0.1573,-0.003873,1
0.087887,-1.269783,0.554233,-0.011913,1
0.001297,-1.243747,0.110133,-0.01424,1
0.0102,-1.367023,0.0497,-0.021767,1
0.800507,-1.36938,0.309533,0.793103,1
0.805387,-1.25591,0.2573,0.785683,1
0.795223,-1.29771,0.054733,0.791213,1
0.800007,-1.435427,0.079533,0.77201,3
0.78514,-1.3917,0.1003,0.768317,1
0.777627,-1.21662,0.0245,0.771913,3
0.010557,-1.268667,0.100567,-0.00343,1
0.008803,-3.392663,0.5279,-0.00795,3
0.000907,-1.41607,0.439467,-0.009177,3
0.00501,-1.17549,0.088667,-0.01445,1
0.00276,-1.197127,0.059,-0.00419,1
0.165667,-1.226387,0.052933,-0.021973,1
-0.00905,-1.118987,0.0007,-0.02457,3
-0.01175,-1.231853,0.048633,-0.016177,1
-0.01533,-1.258033,0.030133,-0.029237,1
0.004,-1.24104,0.032333,-0.02776,1
0.012497,-1.240633,0.078567,-0.00609,1
0.01093,-1.34866,0.050267,-0.004703,1
0.045133,-1.226987,0.059967,-0.007507,1
0.005277,-1.298787,0.011933,-0.01325,3
0.00611,-1.233603,0.0518,-0.005257,1
0.00451,-1.3562,0.0426,0.00162,1
0.00484,-1.303853,0.088,-0.01073,1
0.00736,-1.253983,0.047333,-0.00819,3
-0.000023,-1.280713,0.078067,-0.010997,1
0.00293,-1.26126,0.0164,-0.008583,3
0.022427,-1.30427,0.038467,0.004343,1
0.009423,-1.11873,0.037,-0.003333,1
0.006423,-1.282663,0.0629,-0.01906,1
0.006453,-1.296397,0.076133,0.003593,1
0.145723,-1.241857,0.077733,-0.004393,3
0.002333,-1.154703,0.022033,-0.013207,1
-0.004893,-1.258957,0.115433,-0.016137,1
0.033353,-1.262907,0.030267,-0.00417,1
0.009223,-1.272753,0.056967,-0.001717,1
0.1516,-1.268697,0.0763,-0.004177,1
0.008863,-1.295307,0.073967,-0.007987,1
-0.00156,-1.30271,0.040833,-0.014253,1
-0.005337,-1.28627,0.013867,-0.014153,3
-0.012587,-1.19274,0.039267,-0.019563,1
-0.00935,-1.227983,0.065167,-0.030423,1
-0.01753,-1.21802,0.0616,-0.0263,1
-0.009177,-1.273883,0.049367,-0.035923,3
-0.02395,-1.225887,0.078333,-0.033993,1
-0.02529,-1.2353,0.0299,-0.028293,3
-0.02939,-1.240517,0.085867,-0.036593,1
0.010267,-1.323017,0.0748,0.001693,2
0.013513,-1.390533,0.088,0.00644,1
0.09688,-1.283377,0.062533,0.008223,2
0.01378,-1.28209,0.067167,0.003973,2
0.015427,-1.18729,0.084867,0.00142,2
0.016947,-1.285677,0.107733,0.00857,3
0.019467,-1.098507,0.045833,0.012473,3
0.018177,-1.23831,0.088833,0.006563,2
0.274507,-1.324577,0.0775,0.020873,1
0.252877,-1.289013,0.066533,0.01672,1
0.142023,-1.312003,0.049,0.000987,1
0.01559,-1.298807,0.059133,-0.006383,1
-0.01009,-1.248213,0.0825,-0.024727,1
0.01434,-1.258833,0.038433,-0.04385,1
-0.033677,-1.314567,0.098833,-0.033677,1
0.341843,-1.308007,0.0661,-0.031663,1
-0.012447,-1.30227,0.125367,-0.021173,1
0.520017,-1.34864,0.084233,0.01329,1
0.100373,-1.343603,0.072733,0.022467,2
0.049613,-1.271217,0.135767,0.03554,1
0.052083,-1.27837,0.093267,-0.004953,2
0.02138,-1.223767,0.086533,0.00957,2
0.013817,-1.312733,0.042567,-0.001417,3
0.264957,-1.261427,0.072867,-0.001907,1
0.008203,-1.308147,0.071033,0.00362,1
0.185883,-1.196307,0.0772,0.00642,1
0.29057,-1.27868,0.090233,0.009543,1
0.02326,-1.434137,0.047133,0.00478,1
0.019217,-1.27257,0.026467,0.006567,3
0.019813,-1.269683,0.020167,0.01242,3
0.035573,-1.259707,0.0665,0.000797,1
0.044473,-1.405443,0.082567,-0.007663,1
0.106923,-1.386563,0.0757,0.002253,1
0.05496,-1.363257,0.061,-0.002247,1
0.06924,-1.42983,0.052033,0.00356,3
0.016787,-1.266917,0.0187,-0.000203,1
0.040493,-1.267887,0.062033,0.00906,1
0.35918,-1.33374,0.066867,0.000947,1
0.192693,-1.221847,0.058033,0.009433,1
0.032977,-1.572113,0.124867,0.00148,1
0.03411,-1.27268,0.0735,-0.005743,1
0.023083,-1.29596,0.077167,-0.01154,1
0.00813,-1.23539,0.0998,-0.00148,1
0.0203,-1.2159,0.092833,0.00148,1
0.005893,-1.301243,0.103467,0.00471,1
0.00865,-1.277407,0.019767,0.007417,3
0.010263,-1.39556,0.114267,-0.0028,1
0.013353,-1.321433,0.076333,-0.004857,1
0.1664,-1.257707,0.0898,0.00331,1
0.25979,-1.186427,0.101633,-0.001097,1
0.293237,-1.28457,0.0774,0.001317,1
0.202807,-1.206753,0.086433,0.003773,1
0.190827,-1.291467,0.0813,0.01393,1
0.52676,-1.305157,0.123867,0.005487,1
0.063353,-1.214697,0.090067,0.01394,1
0.19262,-1.470733,0.087333,0.00538,1
0.142203,-1.305837,0.078667,0.016233,1
0.013937,-1.309807,0.114,-0.000247,1
0.018217,-1.329543,0.044067,0.00261,3
0.01799,-1.246683,0.047867,0.014827,3
0.01219,-1.34799,0.124767,-0.00632,2
0.048697,-1.312033,0.089633,-0.00392,2
0.192567,-1.652223,0.109733,0.000997,1
0.016463,-1.286673,0.0503,0.001023,3
0.01094,-1.372477,0.102233,-0.0018,1
0.013977,-1.29633,0.051133,0.002883,3
0.01097,-1.298553,0.096933,0.001063,1
0.011117,-1.256033,0.041433,0.005193,3
0.013677,-1.29178,0.085167,-0.003767,1
0.01271,-1.262207,0.031333,-0.000337,3
0.20611,-1.40788,0.0882,0.009217,1
0.010697,-1.282253,0.1129,-0.000593,1
0.33738,-1.34625,0.096467,0.00971,1
0.011397,-1.312927,0.095533,0.00159,1
0.163727,-1.168663,0.088367,-0.008257,1
0.330833,-1.383773,0.084967,-0.005503,1
0.016917,-1.372583,0.104833,-0.005353,1
0.013403,-1.336047,0.117867,0.00625,1
0.01505,-1.298503,0.054667,0.012023,3
0.102867,-1.208203,0.0808,0.000477,1
0.01632,-1.23679,0.082367,0.000927,1
0.08909,-1.38833,0.1019,0.003623,3
0.319203,-1.56771,0.0876,-0.00077,1
0.01212,-1.258503,0.0633,0.003647,3
0.03213,-1.176997,0.0782,-0.000323,1
0.012743,-1.315523,0.1145,-0.002843,1
0.014,-1.294527,0.072633,0.00538,1
0.051607,-1.424093,0.089767,0.011057,1
0.194517,-1.241807,0.1024,-0.000237,1
0.06133,-1.27577,0.101067,-0.002977,1
0.113223,-1.316847,0.088933,-0.001417,1
0.422003,-1.268683,0.099033,0.00003,1
0.056887,-1.271877,0.112267,-0.00425,2
0.01527,-1.44389,0.142433,0.002787,3
0.013727,-1.257833,0.101533,0.009447,3
0.016523,-1.24276,0.085833,-0.000343,1
0.016857,-1.27373,0.055,0.00245,3
0.008183,-1.2985,0.046267,-0.00464,3
0.010757,-1.274833,0.052533,0.00659,3
0.007827,-1.28128,0.088167,-0.010347,1
0.035657,-1.238363,0.098067,0.002507,1
0.01084,-1.213847,0.0713,-0.00478,1
0.00541,-1.314257,0.114733,-0.001677,1
0.00816,-1.20493,0.047267,-0.004797,3
0.025583,-1.24336,0.097533,-0.002187,2
0.00649,-1.489737,0.090467,0.005103,1
0.00635,-1.270773,0.0576,-0.000483,3
0.133953,-1.498827,0.073567,-0.013573,1
0.183133,-1.230117,0.0889,-0.006197,1
-0.00069,-1.251913,0.061267,-0.010717,3
0.131867,-1.23099,0.0959,-0.004977,1
0.030667,-1.47044,0.088067,0.006397,1
0.013593,-1.273087,0.0572,-0.002137,3
0.00656,-1.289923,0.0677,-0.003233,3
0.008757,-1.468293,0.1061,-0.013207,1
0.003603,-1.266677,0.089133,-0.00497,1
0.061313,-1.146647,0.111967,-0.004783,2
0.244227,-1.23621,0.093467,-0.002037,1
0.30881,-1.257937,0.0892,-0.001147,1
0.057913,-1.417097,0.0925,0.001407,1
0.01594,-1.384813,0.044767,0.000447,3
0.018667,-1.219293,0.102867,-0.008237,3
0.042747,-1.22029,0.087733,0.011387,1
0.019923,-1.291643,0.095467,0.012757,1
0.077757,-1.327923,0.088967,0.011527,2
0.101993,-1.588373,0.106667,0.010293,1
0.173643,-1.275323,0.091367,-0.004317,1
0.076143,-1.41467,0.090967,-0.00419,1
0.011367,-1.274423,0.121433,-0.00713,2
0.014333,-1.3866,0.086667,0.000093,1
0.01254,-1.238983,0.1289,-0.00035,3
0.21678,-1.40174,0.087467,-0.003133,1
0.015387,-1.41186,0.1015,-0.001983,1
0.257917,-1.301383,0.097867,0.00527,2
0.239563,-1.436153,0.0854,-0.003033,1
0.006627,-1.249717,0.044733,-0.003707,3
0.376167,-1.28437,0.102367,0.000637,1
0.01479,-1.29761,0.049067,-0.002407,3
0.285487,-1.375633,0.085633,0.004697,1
0.351243,-1.32657,0.091133,0.00355,1
0.014373,-1.291957,0.0533,0.011197,3
0.011647,-1.345407,0.086467,-0.007293,1
0.011473,-1.261973,0.1272,0.00466,1
0.009583,-1.324683,0.076,0.0024,3
0.073977,-1.29261,0.105533,-0.000417,1
0.011023,-1.250147,0.0663,-0.001697,3
0.011077,-1.253773,0.060833,0.00111,3
0.013093,-1.461863,0.110967,-0.002797,1
0.010417,-1.276443,0.051767,-0.001,3
0.186683,-1.380833,0.112,-0.003953,1
0.333547,-1.32264,0.090433,0.008043,1
0.020047,-1.355473,0.1154,0.011537,1
0.01719,-1.46914,0.030967,0.010197,1
0.021263,-1.304253,0.0897,0.00993,1
0.067423,-1.24183,0.0912,0.01651,1
0.029373,-1.280583,0.078267,0.020767,1
0.213943,-1.23292,0.130533,0.01279,2
0.028817,-1.32638,0.127333,0.014543,1
0.032663,-1.304583,0.125967,0.00872,1
0.095317,-1.338213,0.108,0.01548,1
0.02306,-1.297053,0.099,0.01326,2
0.017987,-1.584627,0.1183,0.00906,1
0.020087,-1.39194,0.0915,0.000193,3
0.020187,-1.362533,0.114467,0.014143,1
0.48552,-1.329323,0.124533,0.01153,2
0.024887,-1.258527,0.0589,0.009173,3
0.36635,-1.37304,0.110033,0.00939,1
0.389613,-1.22747,0.106567,0.015893,2
0.369647,-1.248297,0.089033,0.024317,2
0.027513,-1.419053,0.113033,0.00798,1
0.02419,-1.31383,0.091,0.00766,1
0.042453,-1.391133,0.124867,0.01328,1
0.141273,-1.323943,0.095167,0.012007,2
0.020793,-1.27001,0.1192,-0.00161,1
0.2795,-1.287797,0.1034,0.01064,2
0.018613,-1.3459,0.082967,0.004733,1
0.022123,-1.330773,0.1441,0.006583,1
0.020697,-1.214747,0.119133,0.007797,1
0.019017,-1.232027,0.118067,0.005063,1
0.020167,-1.278023,0.071733,0.013173,3
0.016903,-1.339437,0.0947,0.01548,1
0.04403,-1.221493,0.091333,0.012513,1
0.013917,-1.399193,0.0832,0.00521,2
0.01388,-1.282403,0.0889,0.002463,2
0.01389,-1.26072,0.056067,0.004153,3
