time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,340.2811,943.2831,777.2896,-89.7567,-0.0074,-179.9908,0.0478,-0.0421,-0.1257,-0.0141,0.0091,0.0056,
0.012,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1209,-0.0519,-0.129,-0.0129,0.0108,0.0048,
0.024,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1067,-0.0368,0.1699,-0.0053,0.01,0.0052,
0.036,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0499,-0.1471,-0.1275,-0.0109,0.0118,0.0063,
0.048,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.2032,-0.1204,0.045,-0.0079,0.0065,0.0079,
0.06,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0118,0.0728,0.1393,-0.0067,0.0093,0.012,
0.072,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1102,-0.0725,0.1686,-0.0027,0.005,0.0036,
0.084,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1752,-0.0688,-0.1634,-0.0101,0.0135,0.0131,
0.096,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.0619,-0.1496,0.1705,-0.0021,0.0082,0.0059,
0.108,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0731,0.0327,-0.1204,-0.0147,0.0112,0.0099,
0.12,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.2357,-0.161,0.2137,-0.001,0.0054,0.0076,
0.132,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,-0.0216,-0.0219,-0.1184,-0.0123,0.0124,0.0113,
0.144,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1549,-0.154,-0.0034,-0.0052,0.0055,0.0038,
0.156,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0079,-0.0425,-0.1624,-0.008,0.0079,0.0106,
0.168,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0481,-0.0419,-0.0443,-0.0127,0.0099,0.003,
0.18,340.2846,943.2837,777.2915,-89.7569,-0.0072,-179.9908,0.1239,-0.1316,0.0449,-0.0124,0.01,0.007,
0.192,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0614,-0.0165,0.0843,-0.002,0.0072,0.0045,
0.204,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.0833,-0.1362,0.0441,-0.0049,0.008,0.0069,
0.216,340.284,943.282,777.2896,-89.7569,-0.0074,-179.9908,0.1757,-0.0746,-0.0413,-0.0088,0.011,0.008,
