time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.5729,944.2479,771.9274,-132.9025,-0.0006,179.9998,3.1042,-7.7073,-32.0403,0.7715,0.4148,0.1827,
0.012,339.5729,944.2479,771.9274,-132.9036,-0.0006,179.9998,3.2153,-7.4516,-31.9978,0.7566,0.3946,0.1736,
0.024,339.5729,944.2479,771.9274,-132.9046,-0.0006,179.9998,2.9666,-7.3915,-32.0334,0.7562,0.4184,0.1822,
0.036,339.5728,944.2477,771.9296,-132.9057,-0.0005,179.9997,3.2296,-7.4254,-31.5286,0.7463,0.4001,0.1712,
0.048,339.5728,944.2477,771.9296,-132.9067,-0.0005,179.9997,3.0275,-7.4549,-31.8645,0.7613,0.3943,0.1757,
0.06,339.5722,944.246,771.9277,-132.9078,-0.0006,179.9998,3.2354,-7.4151,-31.5241,0.727,0.3973,0.1697,
0.072,339.5721,944.2457,771.93,-132.9078,-0.0005,179.9997,2.9259,-7.5974,-31.9923,0.7582,0.3932,0.1748,
0.084,339.5721,944.2458,771.93,-132.9099,-0.0005,179.9997,3.1583,-7.3722,-31.2704,0.744,0.3907,0.1677,
0.096,339.572,944.2458,771.93,-132.9141,-0.0005,179.9997,2.8784,-7.4675,-31.4368,0.7553,0.3875,0.1701,
0.108,339.5718,944.2456,771.9323,-132.931,-0.0003,179.9996,3.1611,-7.3623,-31.4369,0.7233,0.3889,0.1665,
0.12,339.5714,944.2459,771.9323,-132.968,-0.0003,179.9996,2.9375,-7.4787,-31.6086,0.7641,0.3802,0.1705,
0.132,339.573,944.243,771.9323,-133.0199,-0.0007,179.9998,3.0217,-7.45,-31.6317,0.7373,0.3791,0.1484,
0.144,339.5688,944.243,771.9303,-133.1031,-0.0008,179.9999,2.691,-7.2494,-31.2023,0.734,0.3608,0.1066,
0.156,339.5706,944.2429,771.9303,-133.2268,-0.0008,179.9999,2.489,-6.9203,-31.7336,0.7173,0.3678,0.0885,
0.168,339.5692,944.2437,771.9326,-133.3651,-0.0007,179.9998,2.4146,-7.0839,-31.2739,0.7362,0.3521,0.0794,
0.18,339.5677,944.2446,771.9349,-133.5213,-0.0005,179.9997,2.3951,-6.846,-31.3955,0.7198,0.3645,0.0831,
0.192,339.566,944.246,771.9349,-133.7029,-0.0005,179.9997,2.3218,-6.8606,-31.3296,0.7479,0.3613,0.0728,
0.204,339.5635,944.2456,771.9352,-133.9056,-0.0005,179.9998,2.1306,-6.8111,-31.4507,0.7504,0.361,0.0763,
0.216,339.5645,944.2462,771.9352,-134.118,-0.0005,179.9998,2.1812,-6.942,-30.5573,0.7441,0.3427,0.0661,
0.228,339.5624,944.2481,771.9352,-134.3534,-0.0005,179.9998,2.0385,-6.684,-30.6935,0.7548,0.3567,0.0637,
0.24,339.563,944.2487,771.9375,-134.6017,-0.0003,179.9997,2.0462,-6.6894,-30.6037,0.7548,0.3348,0.0606,
0.252,339.5607,944.2504,771.9398,-134.8519,-0.0002,179.9996,1.9289,-6.8106,-31.0071,0.7743,0.3618,0.0587,
0.264,339.5579,944.2507,771.9378,-135.1032,-0.0003,179.9997,1.9738,-6.6969,-30.4443,0.7607,0.3424,0.0543,
0.276,339.5585,944.2513,771.9401,-135.3525,-0.0002,179.9996,1.5718,-6.8218,-30.803,0.763,0.3273,0.0663,
0.288,339.5585,944.2503,771.9405,-135.5966,-0.0002,179.9996,1.934,-6.7108,-30.0132,0.7829,0.3219,0.0548,
0.3,339.5592,944.2512,771.9405,-135.8438,-0.0002,179.9996,1.4149,-6.7469,-30.1573,0.788,0.3038,0.0648,
0.312,339.5599,944.2519,771.9427,-136.09,0.0,179.9996,1.7281,-6.552,-30.2158,0.7674,0.3056,0.0522,
0.324,339.5601,944.2511,771.9408,-136.3287,-0.0002,179.9996,1.513,-6.9003,-30.4781,0.7964,0.2988,0.0519,
0.336,339.5608,944.2517,771.9431,-136.5707,0.0,179.9996,1.4018,-6.4755,-30.0785,0.7748,0.2892,0.0512,
0.348,339.561,944.2507,771.9434,-136.8095,0.0,179.9996,1.4655,-6.7315,-29.9919,0.7851,0.2796,0.0534,
0.36,339.5618,944.2516,771.9434,-137.0493,0.0,179.9996,1.5383,-6.4602,-29.2892,0.7494,0.2696,0.0549,
0.372,339.562,944.2506,771.9437,-137.2923,0.0,179.9996,1.3017,-6.5145,-30.1028,0.7807,0.2536,0.0551,
0.384,339.5621,944.2496,771.9441,-137.5311,0.0,179.9996,1.2917,-6.4056,-29.8059,0.7506,0.2625,0.0482,
0.396,339.563,944.2506,771.9441,-137.7677,0.0,179.9996,1.4329,-6.5101,-29.8167,0.77,0.2561,0.0448,
0.408,339.5632,944.2496,771.9444,-138.0086,0.0,179.9996,1.1692,-6.0507,-30.4464,0.7537,0.261,0.047,
0.42,339.5633,944.2486,771.9448,-138.2527,0.0,179.9996,1.3458,-6.3397,-29.0802,0.7647,0.2222,0.0379,
0.432,339.5671,944.2486,771.9448,-138.4958,0.0,179.9996,0.9794,-6.1508,-29.1414,0.7392,0.2403,0.0502,
0.444,339.5644,944.2486,771.9451,-138.7323,0.0,179.9996,1.2252,-6.092,-29.4872,0.7397,0.224,0.0463,
0.456,339.5647,944.2476,771.9454,-138.9616,0.0,179.9996,0.8028,-6.2657,-29.9485,0.7563,0.2261,0.0538,
0.468,339.568,944.2459,771.9435,-139.2016,-0.0002,179.9997,1.3463,-6.148,-29.3785,0.7267,0.2427,0.0359,
0.48,339.5687,944.2467,771.9458,-139.4488,-0.0001,179.9996,0.939,-6.1293,-29.3835,0.7383,0.2182,0.0543,
0.492,339.5689,944.2458,771.9461,-139.696,-0.0001,179.9996,1.1372,-5.7814,-29.0427,0.6929,0.2108,0.0415,
0.504,339.5692,944.2452,771.9442,-139.9401,-0.0002,179.9997,0.7942,-6.0004,-29.1016,0.7238,0.1918,0.0595,
0.516,339.57,944.246,771.9464,-140.1841,-0.0001,179.9996,0.8832,-5.6645,-29.6304,0.6829,0.2053,0.0433,
0.528,339.5703,944.2451,771.9468,-140.4261,-0.0001,179.9996,0.7891,-6.0563,-29.5408,0.7232,0.1804,0.0487,
0.54,339.5706,944.2442,771.9471,-140.6649,-0.0001,179.9996,0.8911,-5.6086,-29.5782,0.6583,0.179,0.0373,
0.552,339.5709,944.2436,771.9452,-140.9036,-0.0002,179.9997,0.7791,-5.809,-29.0964,0.7009,0.1589,0.048,
0.564,339.5712,944.2427,771.9455,-141.1424,-0.0002,179.9997,0.7981,-5.5323,-28.5333,0.6235,0.1593,0.0347,
0.576,339.5716,944.2418,771.9458,-141.377,-0.0002,179.9997,0.7242,-5.5392,-29.166,0.6417,0.1403,0.04,
0.588,339.5725,944.2426,771.9481,-141.6189,-0.0001,179.9996,0.6483,-5.1603,-29.107,0.6106,0.1371,0.0414,
0.6,339.57,944.2431,771.9462,-141.8585,-0.0002,179.9997,0.8544,-5.3155,-28.9875,0.6188,0.1224,0.0356,
0.612,339.5703,944.2422,771.9465,-142.0942,-0.0002,179.9997,0.7079,-5.0124,-28.6331,0.5928,0.1317,0.0378,
0.624,339.5715,944.2436,771.9468,-142.3329,0.0001,179.9995,0.4191,-4.8056,-28.1473,0.5839,0.1078,0.0351,
0.636,339.5719,944.2431,771.9449,-142.577,0.0,179.9996,0.622,-5.0569,-29.006,0.5718,0.0976,0.0323,
0.648,339.5723,944.2423,771.9452,-142.8179,0.0,179.9996,0.5212,-4.8342,-28.8599,0.5583,0.0807,0.0352,
0.66,339.5725,944.2412,771.9479,-143.0567,0.0001,179.9995,0.3978,-4.7679,-28.8545,0.5519,0.0644,0.0313,
0.672,339.5731,944.2406,771.9459,-143.2891,0.0,179.9996,0.5124,-4.8329,-28.899,0.5255,0.0739,0.0289,
0.684,339.5698,944.2388,771.944,-143.5256,-0.0005,180.0,0.4974,-4.4726,-28.8035,0.5046,0.0591,0.0254,
0.696,339.571,944.2403,771.9443,-143.7696,-0.0002,179.9998,0.3879,-4.2135,-28.4914,0.4856,0.0489,0.0247,
0.708,339.5714,944.2396,771.9446,-144.0168,-0.0002,179.9998,0.6116,-4.4998,-28.773,0.4996,0.0519,0.0148,
0.72,339.5718,944.2388,771.945,-144.2567,-0.0002,179.9998,0.4775,-4.377,-28.7877,0.4746,0.0314,0.022,
0.732,339.5721,944.2381,771.9453,-144.5007,-0.0002,179.9998,0.361,-4.1902,-28.7848,0.4771,0.0224,0.0198,
0.744,339.5727,944.2376,771.9434,-144.7427,-0.0003,179.9999,0.2128,-4.0852,-29.0642,0.446,0.0121,0.0231,
0.756,339.5725,944.2352,771.9418,-144.9825,-0.0005,180.0,0.4188,-3.9685,-28.6314,0.4261,0.0009,0.0206,
0.768,339.5701,944.2355,771.9421,-145.2211,-0.0005,180.0,0.231,-3.5279,-29.5753,0.399,0.016,0.014,
0.78,339.5705,944.2348,771.9424,-145.4588,-0.0005,180.0,0.2708,-3.8683,-28.8366,0.3949,-0.0261,0.0108,
0.792,339.571,944.234,771.9428,-145.6944,-0.0005,180.0,0.4501,-3.7367,-28.6553,0.3768,-0.0194,0.0175,
