time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.333,944.8867,777.2486,-89.9876,0.0025,-179.9994,0.0595,-0.1494,0.2222,-0.0113,0.0281,0.0002,
0.012,339.3301,944.8878,777.2486,-89.9885,0.0025,-179.9994,0.0407,-0.2533,0.4273,-0.0052,0.0243,-0.0061,
0.024,339.3301,944.8878,777.2486,-89.9874,0.0025,-179.9994,0.0338,-0.147,0.1811,-0.0142,0.0217,-0.0013,
0.036,339.3293,944.8855,777.2486,-89.9874,0.0022,-179.9995,0.2071,-0.1331,0.2921,-0.007,0.0222,-0.0105,
0.048,339.3293,944.8855,777.2486,-89.9884,0.0022,-179.9995,0.0134,-0.1036,0.0072,-0.0077,0.0253,-0.0011,
0.06,339.3293,944.8855,777.2486,-89.9874,0.0022,-179.9995,0.1468,-0.2524,0.5141,0.0006,0.0213,-0.0036,
0.072,339.3293,944.8855,777.2486,-89.9884,0.0022,-179.9995,0.0566,-0.1329,0.0019,-0.0111,0.0248,-0.0053,
0.084,339.3323,944.8848,777.2463,-89.9886,0.002,-179.9996,0.1996,-0.1804,0.3834,0.0044,0.0156,-0.0057,
0.096,339.3293,944.8855,777.2486,-89.9874,0.0022,-179.9995,-0.0097,-0.1594,0.2227,-0.0069,0.0314,0.0017,
0.108,339.3293,944.8855,777.2486,-89.9884,0.0022,-179.9995,0.1306,-0.3115,0.2907,-0.009,0.0233,-0.0117,
0.12,339.3293,944.8855,777.2486,-89.9884,0.0022,-179.9995,0.094,-0.0369,0.1807,-0.004,0.0208,0.0005,
0.132,339.3293,944.8855,777.2486,-89.9884,0.0022,-179.9995,0.0424,-0.1351,0.1782,-0.0037,0.0292,0.001,
0.144,339.3293,944.8855,777.2486,-89.9874,0.0022,-179.9995,0.0111,-0.2124,0.4296,-0.0106,0.0245,-0.006,
0.156,339.3293,944.8855,777.2486,-89.9874,0.0022,-179.9995,0.0676,-0.0734,0.218,-0.003,0.0254,-0.0022,
