time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,
0.0,339.3412,944.1898,771.5351,-130.2681,-0.0017,-179.9999,4.6352,-10.6195,-34.305,1.383,0.7095,0.265,
0.012,339.3435,944.1871,771.5332,-130.2704,-0.0019,-179.9998,4.6016,-10.5317,-34.7266,1.3782,0.7233,0.2721,
0.024,339.3435,944.1872,771.5332,-130.2725,-0.0019,-179.9998,4.712,-10.5804,-35.1661,1.394,0.7131,0.2662,
0.036,339.3429,944.1855,771.5313,-130.2757,-0.0021,-179.9997,4.7099,-10.3428,-35.0323,1.3475,0.725,0.2622,
0.048,339.3437,944.1878,771.5313,-130.2768,-0.0017,-179.9999,4.7163,-10.6516,-34.7836,1.3736,0.7104,0.2591,
0.06,339.3435,944.1879,771.5313,-130.2947,-0.0017,-179.9999,4.6187,-10.3603,-35.6255,1.3536,0.7179,0.2656,
0.072,339.3431,944.1879,771.5335,-130.3274,-0.0016,-179.9999,4.7598,-10.5273,-35.4425,1.3825,0.7276,0.2541,
0.084,339.3429,944.1888,771.5316,-130.3686,-0.0014,-180.0,4.6296,-10.5292,-35.1824,1.3707,0.7189,0.2497,
0.096,339.345,944.1883,771.5316,-130.4522,-0.0014,-180.0,4.4218,-10.5508,-35.1544,1.3841,0.7055,0.2355,
0.108,339.3438,944.1892,771.5316,-130.5778,-0.0014,-180.0,3.9679,-10.4029,-35.4752,1.3585,0.6695,0.23,
0.12,339.3424,944.1903,771.5316,-130.732,-0.0014,-180.0,3.7071,-10.4881,-35.6461,1.3551,0.6157,0.2118,
0.132,339.3431,944.1889,771.5296,-130.9042,-0.0015,-179.9999,3.068,-10.3773,-36.1275,1.3354,0.5753,0.2122,
0.144,339.3422,944.1921,771.5319,-131.0732,-0.001,179.9999,3.0215,-10.2359,-36.5783,1.3226,0.527,0.2098,
0.156,339.3404,944.1935,771.5319,-131.2685,-0.001,179.9999,2.5854,-10.1944,-35.7868,1.3088,0.5016,0.2089,
0.168,339.3413,944.1944,771.5296,-131.4925,-0.0012,180.0,2.488,-10.3087,-35.4117,1.3269,0.4753,0.1969,
0.18,339.3413,944.1931,771.53,-131.7291,-0.0012,180.0,2.1201,-10.2155,-35.857,1.3169,0.461,0.2052,
0.192,339.3397,944.1969,771.5323,-131.9783,-0.0006,179.9998,2.3333,-10.0268,-35.302,1.3039,0.4446,0.1977,
0.204,339.3402,944.1978,771.5323,-132.2308,-0.0006,179.9998,1.9075,-10.2305,-35.5463,1.3306,0.4174,0.2011,
0.216,339.3403,944.1969,771.5303,-132.4801,-0.0008,179.9999,1.8603,-9.9468,-35.2378,1.3042,0.4139,0.1987,
0.228,339.3417,944.1997,771.5326,-132.72,-0.0003,179.9996,1.8733,-10.0821,-35.3642,1.2922,0.4064,0.1965,
0.24,339.3417,944.1988,771.5306,-132.964,-0.0005,179.9997,1.7504,-9.7374,-35.8317,1.2713,0.4065,0.1918,
0.252,339.3454,944.1985,771.5306,-133.203,-0.0005,179.9997,1.5796,-9.8782,-35.6978,1.2834,0.371,0.1869,
0.264,339.3433,944.2007,771.531,-133.4405,-0.0001,179.9996,1.242,-9.8406,-35.9413,1.2636,0.3749,0.1896,
0.276,339.3469,944.2004,771.531,-133.6837,-0.0001,179.9996,1.5412,-9.6763,-35.595,1.2591,0.3492,0.1867,
0.288,339.3469,944.1994,771.5313,-133.9309,-0.0001,179.9996,1.2982,-9.7168,-35.3817,1.259,0.3454,0.1821,
0.3,339.347,944.1985,771.5294,-134.1708,-0.0003,179.9997,1.3288,-9.6939,-35.1617,1.2577,0.3306,0.1821,
0.312,339.3485,944.2013,771.5316,-134.4085,0.0002,179.9994,0.9574,-9.7922,-35.5289,1.2469,0.3176,0.1858,
0.324,339.3487,944.2004,771.5297,-134.6451,0.0001,179.9995,1.2237,-9.5751,-35.9565,1.2238,0.315,0.1829,
